"","CustomerID","ProdTaken","Age","TypeofContact","DurationOfPitch","Occupation","Gender","NumberOfPersonVisiting","NumberOfFollowups","ProductPitched","PreferredPropertyStar","MaritalStatus","NumberOfTrips","Passport","PitchSatisfactionScore","OwnCar","NumberOfChildrenVisiting","Designation","MonthlyIncome"
"CustomerID",1,0.0504945439462945,0.00663286853673668,-0.0228220645818567,0.0845554818993153,0.00226602922479242,0.0174396340309712,0.587644487888781,0.435465488886296,-0.0857045039403449,0.0115082334760333,0.16542667662756,0.214756966331102,0.0184605621583858,-0.0454543647469948,-0.00944971448021551,0.512736157604669,0.00483927832655684,0.273839167217621
"ProdTaken",0.0504945439462945,1,-0.124464760763144,-0.0397977294392167,0.067855296233478,-0.033745303289454,0.00408733903463664,-0.0482029314632829,0.129345178740326,-0.134784287585542,0.102072275504599,0.210956693520007,0.0365213062930979,0.300151900789012,0.0810341073334071,0.00491458039588849,0.0423794500799243,-0.100205151256729,-0.134280228520437
"Age",0.00663286853673668,-0.124464760763144,1,0.0216234982370219,-0.0200569614376449,0.0520352083271823,-0.0543524109411304,0.0141996434752948,0.00314738887905134,0.428440027798676,0.0108352918572926,-0.0480237568367286,0.205838465692002,0.0149556686833847,0.0643666166137822,0.0192068318887965,-0.00098065506482431,0.0653301028424769,0.455923795647285
"TypeofContact",-0.0228220645818567,-0.0397977294392167,0.0216234982370219,1,-0.0625680809725633,0.0688247631962092,0.0890474222000818,-0.00818268425157268,-0.011488488625406,0.0336187832485011,0.000284987985744324,-0.0413271839390621,0.0196817171967648,0.0648878251947788,-0.0553621387734543,-0.0417589351734252,-0.0462630148994761,0.0687191261096946,0.0563780711387834
"DurationOfPitch",0.0845554818993153,0.067855296233478,-0.0200569614376449,-0.0625680809725633,1,0.0705220175392064,0.0174849261794338,0.0955237952744449,0.0139622014574011,0.0445928534813031,0.0243498692990552,-0.0119711591309421,0.0216366119291647,0.00240003219785933,-0.00201043425504213,-0.00858631896312494,0.0523423535464662,-0.0536796458461366,0.0524538800336136
"Occupation",0.00226602922479242,-0.033745303289454,0.0520352083271823,0.0688247631962092,0.0705220175392064,1,0.0177925542904713,0.00135135917447902,-0.00334105849608442,0.0380540260361109,-0.00280140215253261,-0.0116078646707433,-0.0361705962383453,-0.034115686133916,-0.0339321339406957,-0.0303396381241536,-0.051895727449202,0.0798878213941526,0.0190589282620842
"Gender",0.0174396340309712,0.00408733903463664,-0.0543524109411304,0.0890474222000818,0.0174849261794338,0.0177925542904713,1,-0.0122981779405923,-0.0124775253386517,0.0361004462197543,0.00586235221576992,-0.00865751416762324,-0.00993782470547181,-0.0695609270687691,0.0519287003080662,0.00784974162016163,0.0124336075606584,0.0802259575650667,0.00928294006874939
"NumberOfPersonVisiting",0.587644487888781,-0.0482029314632829,0.0141996434752948,-0.00818268425157268,0.0955237952744449,0.00135135917447902,-0.0122981779405923,1,0.318795549657416,-0.0167412470102038,0.028465446796069,-0.0452663334818377,0.209185823913192,0.0537024634354429,-0.0490196652918577,0.0150036253203485,0.556085676802452,0.096795720328665,0.250857667143609
"NumberOfFollowups",0.435465488886296,0.129345178740326,0.00314738887905134,-0.011488488625406,0.0139622014574011,-0.00334105849608442,-0.0124775253386517,0.318795549657416,1,-0.0674702376222961,-0.00256483196399078,0.0373000151908232,0.181437506814861,0.0103983087040871,-0.0164377060439777,0.0238524486392929,0.286517812252762,0.100531049375933,0.148749251472656
"ProductPitched",-0.0857045039403449,-0.134784287585542,0.428440027798676,0.0336187832485011,0.0445928534813031,0.0380540260361109,0.0361004462197543,-0.0167412470102038,-0.0674702376222961,1,0.0442703065589155,-0.0785786729638774,0.137969942864565,-0.034472013014813,0.0215225692291775,0.0988954912702958,-0.0730971747280918,0.256488662650219,0.705114560520407
"PreferredPropertyStar",0.0115082334760333,0.102072275504599,0.0108352918572926,0.000284987985744324,0.0243498692990552,-0.00280140215253261,0.00586235221576992,0.028465446796069,-0.00256483196399078,0.0442703065589155,1,0.0241237013678743,-0.0319698880208409,-0.0772315526583728,0.0041410876061145,0.0343606731635824,0.0139459423814191,-0.0115513793979042,0.0210764949163898
"MaritalStatus",0.16542667662756,0.210956693520007,-0.0480237568367286,-0.0413271839390621,-0.0119711591309421,-0.0116078646707433,-0.00865751416762324,-0.0452663334818377,0.0373000151908232,-0.0785786729638774,0.0241237013678743,1,-0.0714256022623788,0.0664339140423763,0.00924074734734214,-0.030277417302882,0.0480526966070879,0.0251336229321355,-0.0454755113967979
"NumberOfTrips",0.214756966331102,0.0365213062930979,0.205838465692002,0.0196817171967648,0.0216366119291647,-0.0361705962383453,-0.00993782470547181,0.209185823913192,0.181437506814861,0.137969942864565,-0.0319698880208409,-0.0714256022623788,1,0.0224282079335834,0.0277252868148645,-0.00487569247970463,0.176285333358944,0.0425304623716339,0.241900342500062
"Passport",0.0184605621583858,0.300151900789012,0.0149556686833847,0.0648878251947788,0.00240003219785933,-0.034115686133916,-0.0695609270687691,0.0537024634354429,0.0103983087040871,-0.034472013014813,-0.0772315526583728,0.0664339140423763,0.0224282079335834,1,0.0145762967938203,-0.0563832932039493,0.0356885020598333,-0.0242144633447278,-0.0120651698736564
"PitchSatisfactionScore",-0.0454543647469948,0.0810341073334071,0.0643666166137822,-0.0553621387734543,-0.00201043425504213,-0.0339321339406957,0.0519287003080662,-0.0490196652918577,-0.0164377060439777,0.0215225692291775,0.0041410876061145,0.00924074734734214,0.0277252868148645,0.0145762967938203,1,0.0510742587503117,4.10683599272718e-05,-0.0344475704363452,-0.0106905006549739
"OwnCar",-0.00944971448021551,0.00491458039588849,0.0192068318887965,-0.0417589351734252,-0.00858631896312494,-0.0303396381241536,0.00784974162016163,0.0150036253203485,0.0238524486392929,0.0988954912702958,0.0343606731635824,-0.030277417302882,-0.00487569247970463,-0.0563832932039493,0.0510742587503117,1,0.00890924246769073,-0.0490325778823329,0.0977679030391729
"NumberOfChildrenVisiting",0.512736157604669,0.0423794500799243,-0.00098065506482431,-0.0462630148994761,0.0523423535464662,-0.051895727449202,0.0124336075606584,0.556085676802452,0.286517812252762,-0.0730971747280918,0.0139459423814191,0.0480526966070879,0.176285333358944,0.0356885020598333,4.10683599272718e-05,0.00890924246769073,1,0.033670476626991,0.184094707045374
"Designation",0.00483927832655684,-0.100205151256729,0.0653301028424769,0.0687191261096946,-0.0536796458461366,0.0798878213941526,0.0802259575650667,0.096795720328665,0.100531049375933,0.256488662650219,-0.0115513793979042,0.0251336229321355,0.0425304623716339,-0.0242144633447278,-0.0344475704363452,-0.0490325778823329,0.033670476626991,1,0.16789849077066
"MonthlyIncome",0.273839167217621,-0.134280228520437,0.455923795647285,0.0563780711387834,0.0524538800336136,0.0190589282620842,0.00928294006874939,0.250857667143609,0.148749251472656,0.705114560520407,0.0210764949163898,-0.0454755113967979,0.241900342500062,-0.0120651698736564,-0.0106905006549739,0.0977679030391729,0.184094707045374,0.16789849077066,1
