"","CustomerID","ProdTaken","Age","TypeofContact","DurationOfPitch","Occupation","Gender","NumberOfPersonVisiting","NumberOfFollowups","ProductPitched","PreferredPropertyStar","MaritalStatus","NumberOfTrips","Passport","PitchSatisfactionScore","OwnCar","NumberOfChildrenVisiting","Designation","MonthlyIncome"
"CustomerID",1,0.0731752481251544,-0.0655876436850047,0.0862075524895088,0.0536167735072669,-0.00427851115184279,0.069496808211001,0.671062070646365,0.392919543417022,-0.188849588353994,0.0336510216984398,0.196584924566988,0.227304083491458,-0.0500492519831575,-0.0172229611378619,-0.0757346404424617,0.579144793877472,-0.122527369263942,0.126728158042163
"ProdTaken",0.0731752481251544,1,-0.371170505874931,-0.0865893988334225,0.321579347428502,-0.177487831857695,-0.185578640950546,0.0340975446229832,0.121767139330855,-0.122217430010104,0.218331314283754,-0.0197061851255704,-0.0292812186195254,0.189000133585488,-0.0761221425727658,0.0268045079623709,-0.0689862104128796,-0.116269231082851,-0.117366972131478
"Age",-0.0655876436850047,-0.371170505874931,1,-0.0260375344451068,-0.177721168324644,0.315106720781067,0.0724847877653541,-0.121187323695187,-0.141567434665046,0.437357354423748,0.0259421358345836,-0.0712618966187911,0.0247393930684252,-0.0351797899445543,0.0371848073919429,0.219318875398114,-0.124994806271743,0.299315084633689,0.448717433342968
"TypeofContact",0.0862075524895088,-0.0865893988334225,-0.0260375344451068,1,-0.0460595646560251,-0.0724645806968003,0.138596973579129,0.0611654668105254,0.094322263878538,-0.11024984709748,0.0123849866735981,0.0376291216223772,-0.0667325756465917,-0.102078273997092,-0.105018152902506,-0.0132883765498226,-0.119467596733135,-0.135058815887227,-0.147978538457046
"DurationOfPitch",0.0536167735072669,0.321579347428502,-0.177721168324644,-0.0460595646560251,1,0.13173935611439,-0.231240252733757,-0.0541931139479916,-0.00544621326556936,0.10959180706266,0.0903103865533371,0.135097430783091,-0.122917858113328,0.14171344024353,-0.0665894173290278,-0.0255119704664418,-0.0864509955631811,-0.0864835291989891,0.015958490873624
"Occupation",-0.00427851115184279,-0.177487831857695,0.315106720781067,-0.0724645806968003,0.13173935611439,1,0.148781867520729,0.150630772341798,-0.124762582881594,0.20035832097236,0.278050451387045,-0.129973388774032,-0.153369804144802,-0.105174770668929,0.0264157332801329,-0.0676710315579032,0.0808052682744414,0.186439965342741,0.129274055259464
"Gender",0.069496808211001,-0.185578640950546,0.0724847877653541,0.138596973579129,-0.231240252733757,0.148781867520729,1,0.135790437179084,0.0575850570887081,-0.119567662407219,0.197204453597629,-0.082789863036475,-0.00238038283672089,-0.0754402534796775,0.00105106633531539,-0.0618596359665063,0.210727732597554,-0.0350835683227234,-0.0738231013502109
"NumberOfPersonVisiting",0.671062070646365,0.0340975446229832,-0.121187323695187,0.0611654668105254,-0.0541931139479916,0.150630772341798,0.135790437179084,1,0.383378918063766,-0.209852176073539,0.197418439373937,0.0206212555947398,0.234222876427871,-0.111459881151165,-0.0173481942348273,-0.127995913890343,0.67943446076911,-0.0174636144465535,0.0793052873471062
"NumberOfFollowups",0.392919543417022,0.121767139330855,-0.141567434665046,0.094322263878538,-0.00544621326556936,-0.124762582881594,0.0575850570887081,0.383378918063766,1,-0.00491807904691647,-0.112988713158384,0.0943329301140662,0.383416906951706,-0.0900326197664027,0.140131440931612,-0.0954366773981019,0.34552387101565,0.142460427881131,0.197688319940237
"ProductPitched",-0.188849588353994,-0.122217430010104,0.437357354423748,-0.11024984709748,0.10959180706266,0.20035832097236,-0.119567662407219,-0.209852176073539,-0.00491807904691647,1,0.174340032049409,0.0546776694553445,-0.109960610412452,0.119615891382252,-0.0710055527829497,0.215829729252139,-0.211657696044663,0.552678161792665,0.746119329551505
"PreferredPropertyStar",0.0336510216984398,0.218331314283754,0.0259421358345836,0.0123849866735981,0.0903103865533371,0.278050451387045,0.197204453597629,0.197418439373937,-0.112988713158384,0.174340032049409,1,-0.111215099715003,0.0464192783156606,0.0527185473972983,-0.102896446335875,-0.070530981060383,0.0935525127295839,0.108093473271742,-0.0101685147495127
"MaritalStatus",0.196584924566988,-0.0197061851255704,-0.0712618966187911,0.0376291216223772,0.135097430783091,-0.129973388774032,-0.082789863036475,0.0206212555947398,0.0943329301140662,0.0546776694553445,-0.111215099715003,1,0.142608622581139,0.0711579096434382,0.100981463089363,-0.127600799981401,0.0401994139100168,-0.0732968728525743,-0.0129103744903994
"NumberOfTrips",0.227304083491458,-0.0292812186195254,0.0247393930684252,-0.0667325756465917,-0.122917858113328,-0.153369804144802,-0.00238038283672089,0.234222876427871,0.383416906951706,-0.109960610412452,0.0464192783156606,0.142608622581139,1,-0.0133120977048014,0.339200551405668,0.0475302448185235,0.31872816787753,-0.0621361364144144,0.0214425803589825
"Passport",-0.0500492519831575,0.189000133585488,-0.0351797899445543,-0.102078273997092,0.14171344024353,-0.105174770668929,-0.0754402534796775,-0.111459881151165,-0.0900326197664027,0.119615891382252,0.0527185473972983,0.0711579096434382,-0.0133120977048014,1,0.221847214670243,0.0761042390647191,0.0240396797270281,-0.146179651320077,-0.00960021390345223
"PitchSatisfactionScore",-0.0172229611378619,-0.0761221425727658,0.0371848073919429,-0.105018152902506,-0.0665894173290278,0.0264157332801329,0.00105106633531539,-0.0173481942348273,0.140131440931612,-0.0710055527829497,-0.102896446335875,0.100981463089363,0.339200551405668,0.221847214670243,1,-0.0487745944431958,0.0485907945664981,-0.139992698515513,-0.147783058626201
"OwnCar",-0.0757346404424617,0.0268045079623709,0.219318875398114,-0.0132883765498226,-0.0255119704664418,-0.0676710315579032,-0.0618596359665063,-0.127995913890343,-0.0954366773981019,0.215829729252139,-0.070530981060383,-0.127600799981401,0.0475302448185235,0.0761042390647191,-0.0487745944431958,1,-0.199532192191179,0.152887789535756,0.192167091292319
"NumberOfChildrenVisiting",0.579144793877472,-0.0689862104128796,-0.124994806271743,-0.119467596733135,-0.0864509955631811,0.0808052682744414,0.210727732597554,0.67943446076911,0.34552387101565,-0.211657696044663,0.0935525127295839,0.0401994139100168,0.31872816787753,0.0240396797270281,0.0485907945664981,-0.199532192191179,1,-0.120985856011819,0.0505220804397399
"Designation",-0.122527369263942,-0.116269231082851,0.299315084633689,-0.135058815887227,-0.0864835291989891,0.186439965342741,-0.0350835683227234,-0.0174636144465535,0.142460427881131,0.552678161792665,0.108093473271742,-0.0732968728525743,-0.0621361364144144,-0.146179651320077,-0.139992698515513,0.152887789535756,-0.120985856011819,1,0.570214484838209
"MonthlyIncome",0.126728158042163,-0.117366972131478,0.448717433342968,-0.147978538457046,0.015958490873624,0.129274055259464,-0.0738231013502109,0.0793052873471062,0.197688319940237,0.746119329551505,-0.0101685147495127,-0.0129103744903994,0.0214425803589825,-0.00960021390345223,-0.147783058626201,0.192167091292319,0.0505220804397399,0.570214484838209,1
